Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
21,K281,I.S. 281 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,99249,99249,0.00,DSF: 0000823287
21,K281,I.S. 281 - BROOKLYN,DOE- RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,769146,426523,426523.00,DSF: 0000843774
21,K281,I.S. 281 - BROOKLYN,DOE - Skilled Trades,REPLACE UNDERGROUND WATER MAIN,Construction,In-Progress,01/30/2019,DOES,,DOES,62953,62953.00,DSF: 0000912395
21,K281,I.S. 281 - BROOKLYN,Fast Track Projects,LSP PLAYGROUND REDEVELOPMENT,Construction,In-Progress,06/27/2018,FTK,,FTK,369566,286345.00,DSF: 0000868172
13,K282,P.S. 282 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,34738,34738,0.00,DSF: 0000823432
13,K282,P.S. 282 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,34735,34735,0.00,DSF: 0000822380
13,K282,P.S. 282 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,35000,35000,0.00,DSF: 0000889749
13,K282,P.S. 282 - BROOKLYN,Fast Track Projects,LSP VACUUM PUMP,Construction,In-Progress,01/16/2019,FTK,,FTK,289017,0.00,DSF: 0000872509
13,K282,P.S. 282 - BROOKLYN,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,"CM, F&E",PNS,PNS,PNS,PNS,9450,9450,0.00,DSF: 0000912239
13,K282,P.S. 282 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM, F&E",PNS,PNS,PNS,PNS,18428,18428,414.00,DSF: 0000868200
13,K282,P.S. 282 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,PNS,PNS,PNS,PNS,79514,79514,0.00,DSF: 0000868200
13,K282,P.S. 282 - BROOKLYN,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Construction,PNS,PNS,PNS,PNS,40775,40775,0.00,DSF: 0000912239
13,K282,P.S. 282 - BROOKLYN,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,In-Progress,02/14/2019,07/17/2019,,3850,3850,0.00,DSF: 0000912239
13,K282,P.S. 282 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,09/12/2018,02/15/2019,01/16/2019,7508,7150,7150.00,DSF: 0000868200
13,K282,P.S. 282 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,08/22/2018,12/26/2018,09/12/2018,2048,1787,1787.00,DSF: 0000868200
13,K282,P.S. 282 - BROOKLYN,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Scope,Complete,02/13/2019,06/14/2019,02/14/2019,1050,0,0.00,DSF: 0000912239
13,K282,P.S. 282 - BROOKLYN,SCA CIP RESOA,FY19 RESO A SCHOOL SAFETY,"CM, F&E",PNS,PNS,PNS,PNS,12000,12000,0.00,DSF: 0000890776
13,K282,P.S. 282 - BROOKLYN,SCA CIP RESOA,FY19 RESO A SCHOOL SAFETY,Construction,PNS,PNS,PNS,PNS,176000,176000,0.00,DSF: 0000890776
13,K282,P.S. 282 - BROOKLYN,SCA CIP RESOA,FY19 RESO A SCHOOL SAFETY,Design,PNS,PNS,PNS,PNS,12000,12000,0.00,DSF: 0000890776
13,K282,P.S. 282 - BROOKLYN,SCA CIP RESOA,FY19 RESO A SCHOOL SAFETY,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000890776
23,K284,P.S. 284 - BROOKLYN,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,500000,500000,0.00,DSF: 0000866486
23,K284,P.S. 284 - BROOKLYN,DOE- RESOA,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,PNS,PNS,PNS,PNS,282684,0,0.00,DSF: 0000890777
23,K284,P.S. 284 - BROOKLYN,DOE- RESOA,FY09 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,50000,50000,50000.00,DSF: 0000623079
23,K284,P.S. 284 - BROOKLYN,DOE - Skilled Trades,AUDITORIUM STAIRS,Construction,In-Progress,02/06/2018,DOES,,DOES,351904,351904.00,DSF: 0000827950
23,K284,P.S. 284 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM/WATER PENETRATION,"CM, F&E",In-Progress,02/12/2018,05/07/2019,,321258,223833,223707.00,"DSF: 0000822117, 0000827934"
23,K284,P.S. 284 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM/WATER PENETRATION,Construction,In-Progress,02/12/2018,05/07/2019,,2653993,2398632,2225543.00,"DSF: 0000822117, 0000827934"
23,K284,P.S. 284 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM/WATER PENETRATION,Design,Complete,01/23/2017,06/22/2017,05/09/2017,179382,167370,162316.00,"DSF: 0000822117, 0000827934"
23,K284,P.S. 284 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM/WATER PENETRATION,Scope,Complete,06/23/2015,11/21/2016,12/22/2016,46821,64859,64193.00,"DSF: 0000822117, 0000827934"
23,K284,P.S. 284 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,"CM, F&E",Complete,06/25/2018,03/21/2019,03/12/2019,52932,70368,47422.00,DSF: 0000867215
23,K284,P.S. 284 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Construction,Complete,06/25/2018,03/21/2019,03/12/2019,548021,526660,332595.00,DSF: 0000867215
23,K284,P.S. 284 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,Complete,03/05/2018,08/02/2018,05/14/2018,37365,43402,41954.00,DSF: 0000867215
23,K284,P.S. 284 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Scope,Complete,02/05/2018,05/21/2018,03/02/2018,0,11880,11880.00,DSF: 0000867215
18,K285,I.S. 285 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,DIIT,,DIIT,569108,0.00,DSF: 0000776888
18,K285,I.S. 285 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,41000,41000,0.00,DSF: 0000890087
18,K285,I.S. 285 - BROOKLYN,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,"CM, F&E",PNS,PNS,PNS,PNS,6000,6000,0.00,DSF: 0000912312
18,K285,I.S. 285 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM, F&E",PNS,PNS,PNS,PNS,65912,65912,0.00,DSF: 0000868269
18,K285,I.S. 285 - BROOKLYN,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Construction,PNS,PNS,PNS,PNS,25889,25889,0.00,DSF: 0000912312
18,K285,I.S. 285 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,PNS,PNS,PNS,PNS,284400,284400,0.00,DSF: 0000868269
18,K285,I.S. 285 - BROOKLYN,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,In-Progress,02/20/2019,07/22/2019,,2444,2444,122.00,DSF: 0000912312
18,K285,I.S. 285 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,In-Progress,02/20/2019,07/22/2019,,26853,26853,12485.00,DSF: 0000868269
18,K285,I.S. 285 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,01/22/2019,05/22/2019,02/20/2019,7324,3121,3121.00,DSF: 0000868269
18,K285,I.S. 285 - BROOKLYN,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Scope,Complete,02/19/2019,06/19/2019,02/20/2019,667,31,31.00,DSF: 0000912312
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,27900,27900,0.00,DSF: 0000890778
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,2100,2100,0.00,DSF: 0000912270
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,409200,409200,0.00,DSF: 0000890778
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,30800,30800,0.00,DSF: 0000912270
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,27900,16567,1622.00,DSF: 0000890778
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,2100,2100,0.00,DSF: 0000912270
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000912270
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Scope,In-Progress,11/16/2018,03/22/2019,,0,11333,405.00,DSF: 0000890778
22,K286,K811 SPED - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,175000,175000,0.00,DSF: 0000823087
22,K286,K811 SPED - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,130000,130000,0.00,DSF: 0000845100
22,K286,K811 SPED - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,250000,250000,0.00,DSF: 0000890806
22,K286,K811 SPED - BROOKLYN,DOE - Skilled Trades,CHILLED WATER FAN,Construction,In-Progress,07/02/2018,DOES,,DOES,1512675,1512675.00,DSF: 0000872570
22,K286,K811 SPED - BROOKLYN,SCA CIP RESOA,FY18 RESO A IPDVS CAMERA INSTALLATION,"CM, F&E",PNS,PNS,PNS,PNS,68022,44976,2395.00,DSF: 0000867318
22,K286,K811 SPED - BROOKLYN,SCA CIP RESOA,FY18 RESO A IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,345070,345070,0.00,DSF: 0000867318
22,K286,K811 SPED - BROOKLYN,SCA CIP RESOA,FY18 RESO A IPDVS CAMERA INSTALLATION,Design,In-Progress,12/07/2018,06/05/2019,,23528,21269,9036.00,DSF: 0000867318
22,K286,K811 SPED - BROOKLYN,SCA CIP RESOA,FY18 RESO A IPDVS CAMERA INSTALLATION,Scope,Complete,01/10/2018,05/10/2018,01/31/2018,0,2259,2259.00,DSF: 0000867318
13,K287,P.S. 287 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,DIIT,,DIIT,29437,0.00,DSF: 0000776890
13,K287,P.S. 287 - BROOKLYN,SCA CIP,ROOFS/PARAPETS/EXTERIOR MASONRY,"CM, F&E",In-Progress,02/28/2019,08/20/2020,,601440,26680,26680.00,"DSF: 0000872577, 0000872578, 0000872579"
13,K287,P.S. 287 - BROOKLYN,SCA CIP,ROOFS/PARAPETS/EXTERIOR MASONRY,Construction,In-Progress,02/28/2019,08/20/2020,,9665999,8656395,17989.00,"DSF: 0000872577, 0000872578, 0000872579"
13,K287,P.S. 287 - BROOKLYN,SCA CIP,ROOFS/PARAPETS/EXTERIOR MASONRY,Design,Complete,03/28/2018,08/27/2018,10/01/2018,515521,457658,335879.00,"DSF: 0000872577, 0000872578, 0000872579"
13,K287,P.S. 287 - BROOKLYN,SCA CIP,ROOFS/PARAPETS/EXTERIOR MASONRY,Scope,Complete,12/18/2017,05/04/2018,03/28/2018,128880,121002,110302.00,"DSF: 0000872577, 0000872578, 0000872579"
21,K288,P.S. 288 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,150000,150000,0.00,DSF: 0000890088
21,K288,P.S. 288 - BROOKLYN,SCA CIP,ROOF,"CM, F&E",In-Progress,05/21/2018,08/13/2019,,244516,195191,192122.00,DSF: 0000843652
21,K288,P.S. 288 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM, F&E",In-Progress,01/07/2019,08/04/2019,,38471,20068,15380.00,DSF: 0000868270
21,K288,P.S. 288 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,01/07/2019,08/04/2019,,165995,176035,0.00,DSF: 0000868270
21,K288,P.S. 288 - BROOKLYN,SCA CIP,ROOF,Construction,In-Progress,05/21/2018,08/13/2019,,3929718,3631030,758008.00,DSF: 0000843652
21,K288,P.S. 288 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,08/21/2018,01/25/2019,08/29/2018,15673,19489,18228.00,DSF: 0000868270
21,K288,P.S. 288 - BROOKLYN,SCA CIP,ROOF,Design,Complete,01/18/2017,06/19/2017,07/19/2017,209585,210628,187361.00,DSF: 0000843652
21,K288,P.S. 288 - BROOKLYN,SCA CIP,ROOF,Scope,Complete,11/16/2015,04/04/2016,12/13/2016,52396,48369,48369.00,DSF: 0000843652
21,K288,P.S. 288 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,08/08/2018,12/11/2018,08/21/2018,4275,4533,4533.00,DSF: 0000868270
21,K288,P.S. 288 - BROOKLYN,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,60000,60000,5168.00,DSF: 0000890779
21,K288,P.S. 288 - BROOKLYN,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,880000,880000,6188.00,DSF: 0000890779
21,K288,P.S. 288 - BROOKLYN,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Design,Complete,11/28/2018,04/24/2019,02/21/2019,60000,96198,6204.00,DSF: 0000890779
21,K288,P.S. 288 - BROOKLYN,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Scope,Complete,10/15/2018,12/17/2018,11/19/2018,0,22682,1551.00,DSF: 0000890779
17,K289,P.S. 289 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,04/06/2018,DOES,,DOES,143491,143491.00,DSF: 0000872617
19,K290,P.S. 290 - BROOKLYN,SCA CIP,ROOFS/WINDOWS/PARAPETS,"CM, F&E",In-Progress,09/25/2017,12/18/2018,,442599,483650,460063.00,"DSF: 0000782401, 0000805706, 0000822187"
19,K290,P.S. 290 - BROOKLYN,SCA CIP,ROOFS/WINDOWS/PARAPETS,Construction,In-Progress,09/25/2017,12/18/2018,,3288200,3191630,1787786.00,"DSF: 0000782401, 0000805706, 0000822187"
19,K290,P.S. 290 - BROOKLYN,SCA CIP,ROOFS/WINDOWS/PARAPETS,Design,Complete,06/29/2015,12/01/2015,12/09/2015,233049,167779,152139.00,"DSF: 0000782401, 0000805706, 0000822187"
19,K290,P.S. 290 - BROOKLYN,SCA CIP,ROOFS/WINDOWS/PARAPETS,Scope,Complete,10/24/2014,03/16/2015,04/08/2015,61275,79322,77185.00,"DSF: 0000782401, 0000805706, 0000822187"
19,K290,P.S. 290 - BROOKLYN,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,"CM, F&E",Complete,04/13/2018,10/09/2018,10/09/2018,97061,119814,88924.00,DSF: 0000844173
19,K290,P.S. 290 - BROOKLYN,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,Construction,Complete,04/13/2018,10/09/2018,10/09/2018,338388,242645,209033.00,DSF: 0000844173
19,K290,P.S. 290 - BROOKLYN,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,Design,Complete,05/02/2017,09/15/2017,11/03/2017,23072,35876,34916.00,DSF: 0000844173
19,K290,P.S. 290 - BROOKLYN,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,Scope,Complete,01/31/2017,03/31/2017,05/02/2017,0,26718,26718.00,DSF: 0000844173
19,K290,P.S. 290 - BROOKLYN,SCA Furniture & Equi,FY19 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,225000,225000,0.00,DSF: 0000889750
32,K291,I.S. 291 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,DIIT,,DIIT,130360,0.00,DSF: 0000776894
32,K291,BUSHWICK COMMUNITY HS - BROOKL,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,DIIT,,DIIT,130360,0.00,DSF: 0000776895
32,K291,I.S. 291 - BROOKLYN,DIIT - RESOA,FY13 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,250000,250000,0.00,DSF: 0000821730
32,K291,I.S. 291 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,93000,93000,0.00,DSF: 0000845565
32,K291,I.S. 291 - BROOKLYN,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",In-Progress,06/12/2018,04/07/2019,,80972,190002,59941.00,DSF: 0000867033
32,K291,I.S. 291 - BROOKLYN,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,In-Progress,06/12/2018,04/07/2019,,349378,309012,20898.00,DSF: 0000867033
32,K291,I.S. 291 - BROOKLYN,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,Complete,12/04/2017,05/31/2018,04/04/2018,32988,14269,14269.00,DSF: 0000867033
32,K291,I.S. 291 - BROOKLYN,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,09/26/2017,01/30/2018,12/04/2017,8997,3551,3551.00,DSF: 0000867033
32,K291,I.S. 291 - BROOKLYN,SCA CIP RESOA,FY19 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,21900,21900,0.00,DSF: 0000890780
32,K291,I.S. 291 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,2100,2100,0.00,DSF: 0000912400
32,K291,"MATH, ENGINEERING, AND SCIENCE",SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,52843,49843,49843.00,DSF: 0000866682
32,K291,"MATH, ENGINEERING, AND SCIENCE",SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,44000,44000,0.00,DSF: 0000866682
32,K291,I.S. 291 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,30800,30800,0.00,DSF: 0000912400
32,K291,I.S. 291 - BROOKLYN,SCA CIP RESOA,FY19 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,321200,321200,0.00,DSF: 0000890780
32,K291,"MATH, ENGINEERING, AND SCIENCE",SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,3000,3000,0.00,DSF: 0000866682
32,K291,I.S. 291 - BROOKLYN,SCA CIP RESOA,FY19 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,21900,11673,3978.00,DSF: 0000890780
32,K291,I.S. 291 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,2100,2100,0.00,DSF: 0000912400
32,K291,"MATH, ENGINEERING, AND SCIENCE",SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000866682
32,K291,I.S. 291 - BROOKLYN,SCA CIP RESOA,FY19 RESO A GYMNASIUM UPGRADE,Scope,In-Progress,11/09/2018,03/18/2019,,0,10227,10227.00,DSF: 0000890780
32,K291,I.S. 291 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000912400
32,K291,I.S. 291 - BROOKLYN,SCA IEH,IEH PO18-KITCHEN,Construction,In-Progress,11/30/2017,IEH,,IEH,10150,0.00,DSF: 0000049586
19,K292,I.S. 292 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,DIIT,,DIIT,27465,0.00,DSF: 0000776896
19,K292,I.S. 292 - BROOKLYN,SCA Furniture & Equi,FY19 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,225000,225000,0.00,DSF: 0000889751
19,K292,I.S. 292 - BROOKLYN,SCA IEH,IEH PO18-VARIOUS LOCATIONS,Construction,In-Progress,01/15/2019,IEH,,IEH,65635,0.00,DSF: 0000055827
15,K293,DIGITAL ARTS AND CINEMA TECHNO,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,DIIT,,DIIT,14386,0.00,DSF: 0000776897
15,K293,THE BOERUM HILL SCHOOL FOR INT,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,DIIT,,DIIT,143860,0.00,DSF: 0000776898
15,K293,THE BOERUM HILL SCHOOL FOR INT,SCA Furniture & Equi,FY19 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,62000,62000,0.00,DSF: 0000889788
32,K296,I.S. 562 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,In-Progress,03/12/2019,DIIR,,177000,177000,175420.00,DSF: 0000890126
32,K296,K053 SPED - BROOKLYN,Fast Track Projects,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,PNS,FTK,FTK,FTK,FTK,132000,0.00,DSF: 0000911805
32,K296,K053 SPED - BROOKLYN,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",In-Progress,06/12/2018,04/07/2019,,182715,155348,42871.00,DSF: 0000867034
32,K296,K053 SPED - BROOKLYN,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,In-Progress,06/12/2018,04/07/2019,,237782,218498,86372.00,DSF: 0000867034
32,K296,K053 SPED - BROOKLYN,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,Complete,01/05/2018,07/02/2018,05/03/2018,22452,13018,13018.00,DSF: 0000867034
32,K296,K053 SPED - BROOKLYN,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,09/29/2017,02/02/2018,01/05/2018,6123,3238,3238.00,DSF: 0000867034
32,K296,I.S. 562 - BROOKLYN,SCA IEH,IEH PO18-TWO STAIRCASES CONNECTING GYM TO LOCKER,Construction,In-Progress,02/19/2019,IEH,,IEH,28142,0.00,DSF: 0000056488
32,K296,I.S. 562 - BROOKLYN,SCA IEH,IEH PO18-1ST FL CORRIDOR CEILING,Construction,In-Progress,11/08/2018,IEH,,IEH,28918,0.00,DSF: 0000054866
14,K297,P.S. 297 - BROOKLYN,DOE- RESOA,FY19 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,175000,0,0.00,DSF: 0000890655
14,K297,P.S. 297 - BROOKLYN,Fast Track Projects,FY19 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,03/14/2019,FTK,,FTK,95625,0.00,DSF: 0000890781
14,K297,P.S. 297 - BROOKLYN,SCA IEH,"IEH PO18-RM B55,HALLWAY OUTSIDE RM B55 & AREAS LEA",Construction,Complete,11/01/2018,IEH,12/09/2018,IEH,28439,0.00,DSF: 0000054647
23,K298,P.S. 298 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,35000,35000,0.00,DSF: 0000889753
23,K298,P.S. 298 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM, F&E",PNS,PNS,PNS,PNS,46139,46139,0.00,DSF: 0000868271
23,K298,P.S. 298 - BROOKLYN,SCA CIP,ENY PLAYGROUND UPGRADE,"CM, F&E",Complete,06/29/2017,07/29/2018,11/30/2018,91152,64354,61432.00,DSF: 0000865825
23,K298,P.S. 298 - BROOKLYN,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,"CM, F&E",PNS,PNS,PNS,PNS,9450,9450,0.00,DSF: 0000912238
23,K298,P.S. 298 - BROOKLYN,SCA CIP,ENY PLAYGROUND UPGRADE,Construction,Complete,06/29/2017,07/29/2018,11/30/2018,393304,441228,253147.00,DSF: 0000865825
23,K298,P.S. 298 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,PNS,PNS,PNS,PNS,199080,199080,0.00,DSF: 0000868271
23,K298,P.S. 298 - BROOKLYN,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Construction,PNS,PNS,PNS,PNS,40775,40775,0.00,DSF: 0000912238
23,K298,P.S. 298 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,In-Progress,12/13/2018,05/16/2019,,18797,18797,8775.00,DSF: 0000868271
23,K298,P.S. 298 - BROOKLYN,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,In-Progress,02/14/2019,07/17/2019,,3850,3850,0.00,DSF: 0000912238
23,K298,P.S. 298 - BROOKLYN,SCA CIP,ENY PLAYGROUND UPGRADE,Design,Complete,04/25/2017,09/25/2017,05/17/2017,37136,36865,36865.00,DSF: 0000865825
23,K298,P.S. 298 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,12/12/2018,04/16/2019,12/13/2018,5127,2194,2194.00,DSF: 0000868271
23,K298,P.S. 298 - BROOKLYN,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Scope,Complete,02/13/2019,06/14/2019,02/14/2019,1050,0,0.00,DSF: 0000912238
23,K298,P.S. 298 - BROOKLYN,SCA CIP,ENY PLAYGROUND UPGRADE,Scope,Complete,02/13/2017,04/13/2017,04/25/2017,10128,9979,9979.00,DSF: 0000865825
23,K298,I.S. 363 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,79458,74958,74958.00,DSF: 0000866674
